candidate,sample_kind,target_kind,loss_kind,target_source,target_smoothing_bandwidth_scale,description,symbolic_formula,score_formula,delta_formula,model_name,checkpoint,train_start_year,train_end_year,validation_year,test_year,source_file
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,(iv + tau - 0.25830486)*erf(erf(iv*(m_fwd*11.395954 - 12.839746))),(iv + tau - 0.25830486)*erf(erf(iv*(m_fwd*11.395954 - 12.839746))),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((iv + tau - 0.25830486)*erf(erf(iv*(m_fwd*11.395954 - 12.839746)))), 0, 1)",final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,(erf(iv*(m_fwd - 1.1634326)/0.07626401) + 0.27427906)*(iv + tau - 0.22709964),(erf(iv*(m_fwd - 1.1634326)/0.07626401) + 0.27427906)*(iv + tau - 0.22709964),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((erf(iv*(m_fwd - 1.1634326)/0.07626401) + 0.27427906)*(iv + tau - 0.22709964)), 0, 1)",final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,(tau - (0.21772982 - iv))*(erf(iv*(m_fwd - 1*1.165566)/0.07584631) + 0.28439617),(tau - (0.21772982 - iv))*(erf(iv*(m_fwd - 1*1.165566)/0.07584631) + 0.28439617),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((tau - (0.21772982 - iv))*(erf(iv*(m_fwd - 1*1.165566)/0.07584631) + 0.28439617)), 0, 1)",final_WF_exp1_k1_test2015,19000,2010,2013,2014,2015,results\interpret_real_walkforward\2015_final_WF_exp1_k1_test2015\final_WF_exp1_k1_test2015_19000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,iv*(iv*tau)**(1/4)*erf(9.481118*m_fwd - 10.141194),iv*(iv*tau)**(1/4)*erf(9.481118*m_fwd - 10.141194),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(iv*tau)**(1/4)*erf(9.481118*m_fwd - 10.141194)), 0, 1)",final_WF_exp1_k1_test2016,5000,2010,2014,2015,2016,results\interpret_real_walkforward\2016_final_WF_exp1_k1_test2016\final_WF_exp1_k1_test2016_5000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,iv*(iv*0.5689264 + tau)*erf((m_fwd/0.3445601 + tau - 1*3.2872362)/0.2558396),iv*(iv*0.5689264 + tau)*erf((m_fwd/0.3445601 + tau - 1*3.2872362)/0.2558396),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(iv*0.5689264 + tau)*erf((m_fwd/0.3445601 + tau - 1*3.2872362)/0.2558396)), 0, 1)",final_WF_exp1_k1_test2016,5000,2010,2014,2015,2016,results\interpret_real_walkforward\2016_final_WF_exp1_k1_test2016\final_WF_exp1_k1_test2016_5000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,0.5582531*iv*erf(56.1523899495982*tau*log(m_fwd) - erf(iv)),0.5582531*iv*erf(56.1523899495982*tau*log(m_fwd) - erf(iv)),"clip(BS_DELTA(m_fwd, tau, iv, q) + (0.5582531*iv*erf(56.1523899495982*tau*log(m_fwd) - erf(iv))), 0, 1)",final_WF_exp1_k1_test2016,5000,2010,2014,2015,2016,results\interpret_real_walkforward\2016_final_WF_exp1_k1_test2016\final_WF_exp1_k1_test2016_5000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,iv*(sqrt(tau)*erf(13.96244*m_fwd - 14.479265301576) - 0.08738781),iv*(sqrt(tau)*erf(13.96244*m_fwd - 14.479265301576) - 0.08738781),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(sqrt(tau)*erf(13.96244*m_fwd - 14.479265301576) - 0.08738781)), 0, 1)",final_WF_exp1_k1_test2017,4000,2010,2015,2016,2017,results\interpret_real_walkforward\2017_final_WF_exp1_k1_test2017\final_WF_exp1_k1_test2017_4000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,iv*sqrt(tau)*erf(15.299247*m_fwd - 16.1486887320846),iv*sqrt(tau)*erf(15.299247*m_fwd - 16.1486887320846),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*sqrt(tau)*erf(15.299247*m_fwd - 16.1486887320846)), 0, 1)",final_WF_exp1_k1_test2017,4000,2010,2015,2016,2017,results\interpret_real_walkforward\2017_final_WF_exp1_k1_test2017\final_WF_exp1_k1_test2017_4000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,iv*(sqrt(tau)*erf(15.644573*m_fwd - 16.2215010474356) - 0.092503846),iv*(sqrt(tau)*erf(15.644573*m_fwd - 16.2215010474356) - 0.092503846),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(sqrt(tau)*erf(15.644573*m_fwd - 16.2215010474356) - 0.092503846)), 0, 1)",final_WF_exp1_k1_test2017,4000,2010,2015,2016,2017,results\interpret_real_walkforward\2017_final_WF_exp1_k1_test2017\final_WF_exp1_k1_test2017_4000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,iv*(-0.49780503)*(-erf(-iv + tau + erf(17.394995 - 18.206802/m_fwd))),iv*(-0.49780503)*(-erf(-iv + tau + erf(17.394995 - 18.206802/m_fwd))),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(-0.49780503)*(-erf(-iv + tau + erf(17.394995 - 18.206802/m_fwd)))), 0, 1)",final_WF_exp1_k1_test2018,4000,2010,2016,2017,2018,results\interpret_real_walkforward\2018_final_WF_exp1_k1_test2018\final_WF_exp1_k1_test2018_4000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,erf(-iv + tau + erf((1.0487671 - m_fwd)*(-13.615433)))*iv*0.5118966,erf(-iv + tau + erf((1.0487671 - m_fwd)*(-13.615433)))*iv*0.5118966,"clip(BS_DELTA(m_fwd, tau, iv, q) + (erf(-iv + tau + erf((1.0487671 - m_fwd)*(-13.615433)))*iv*0.5118966), 0, 1)",final_WF_exp1_k1_test2018,4000,2010,2016,2017,2018,results\interpret_real_walkforward\2018_final_WF_exp1_k1_test2018\final_WF_exp1_k1_test2018_4000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,erf(tau/0.28760853 + 9.428678 - 10.766358/m_fwd)*iv*0.49067432,erf(tau/0.28760853 + 9.428678 - 10.766358/m_fwd)*iv*0.49067432,"clip(BS_DELTA(m_fwd, tau, iv, q) + (erf(tau/0.28760853 + 9.428678 - 10.766358/m_fwd)*iv*0.49067432), 0, 1)",final_WF_exp1_k1_test2018,4000,2010,2016,2017,2018,results\interpret_real_walkforward\2018_final_WF_exp1_k1_test2018\final_WF_exp1_k1_test2018_4000_candidate_manifest.csv
