"year_folder","file","length"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_hof_validation_selection.csv","35994"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_formula.txt","126"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_pysr_equations.csv","5061"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_score_formula.txt","82"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_focus_bs_delta_residual_symbolic_formula.txt","82"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_formula.txt","123"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5707"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_score_formula.txt","79"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","79"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_formula.txt","112"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_pysr_equations.csv","4728"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_score_formula.txt","68"
"2015_final_WF_exp1_k1_test2015","final_WF_exp1_k1_test2015_19000_uniform_bs_delta_residual_symbolic_formula.txt","68"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_hof_validation_selection.csv","37093"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_formula.txt","105"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_pysr_equations.csv","5121"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_score_formula.txt","61"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_focus_bs_delta_residual_symbolic_formula.txt","61"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_formula.txt","122"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_pysr_equations.csv","5173"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_score_formula.txt","78"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","78"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_formula.txt","96"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_pysr_equations.csv","5420"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_score_formula.txt","52"
"2016_final_WF_exp1_k1_test2016","final_WF_exp1_k1_test2016_5000_uniform_bs_delta_residual_symbolic_formula.txt","52"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_hof_validation_selection.csv","34387"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_formula.txt","114"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_pysr_equations.csv","5452"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_score_formula.txt","70"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_focus_bs_delta_residual_symbolic_formula.txt","70"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_formula.txt","98"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_pysr_equations.csv","4449"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_score_formula.txt","54"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_smooth_uniform_bs_delta_residual_symbolic_formula.txt","54"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_formula.txt","111"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_pysr_equations.csv","4771"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_score_formula.txt","67"
"2017_final_WF_exp1_k1_test2017","final_WF_exp1_k1_test2017_4000_uniform_bs_delta_residual_symbolic_formula.txt","67"
